array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000127,0.000130,0.000009,0.000126,0.000155,0.000154,20217.0441,SSE4.2
1024,0.000247,0.000250,0.000007,0.000247,0.000269,0.000268,20732.5543,SSE4.2
2048,0.000493,0.000496,0.000007,0.000489,0.000509,0.000509,20770.6800,SSE4.2
4096,0.001510,0.001601,0.000157,0.001475,0.001858,0.001858,13564.0467,SSE4.2
8192,0.002957,0.002975,0.000038,0.002941,0.003056,0.003053,13851.4674,SSE4.2
12288,0.004435,0.004438,0.000010,0.004426,0.004464,0.004462,13853.3395,SSE4.2
16384,0.006055,0.006060,0.000018,0.006038,0.006105,0.006102,13528.6763,SSE4.2
20480,0.008137,0.008203,0.000133,0.008122,0.008524,0.008513,12584.2974,SSE4.2
24576,0.010531,0.010557,0.000189,0.010327,0.010822,0.010821,11668.2491,SSE4.2
28672,0.013545,0.013580,0.000117,0.013364,0.013773,0.013766,10583.6830,SSE4.2
32768,0.014272,0.014461,0.000478,0.014233,0.015876,0.015751,11479.7222,SSE4.2
40960,0.019398,0.019508,0.000289,0.019229,0.020266,0.020216,10558.0439,SSE4.2
49152,0.023644,0.023960,0.000846,0.023395,0.026191,0.026065,10394.3713,SSE4.2
57344,0.027973,0.028354,0.001211,0.027348,0.031285,0.031149,10249.9890,SSE4.2
65536,0.031428,0.032134,0.001338,0.031350,0.034865,0.034852,10426.3127,SSE4.2
81920,0.039904,0.039939,0.000333,0.039410,0.040601,0.040574,10264.6924,SSE4.2
98304,0.047497,0.047602,0.000618,0.046932,0.048756,0.048727,10348.4632,SSE4.2
114688,0.055094,0.055398,0.000655,0.054838,0.056924,0.056866,4163.3343,SSE4.2
131072,0.063328,0.063771,0.001117,0.062723,0.066351,0.066227,4139.4535,SSE4.2
163840,0.078704,0.079096,0.000979,0.078256,0.081065,0.080995,4163.4671,SSE4.2
196608,0.094784,0.095507,0.002099,0.094274,0.101612,0.101093,4148.5333,SSE4.2
229376,0.113180,0.113162,0.002379,0.110795,0.119466,0.118987,4053.3063,SSE4.2
262144,0.127298,0.127831,0.001205,0.126549,0.130247,0.130151,4118.5795,SSE4.2
327680,0.161437,0.162030,0.002873,0.158484,0.167322,0.167189,4059.5488,SSE4.2
393216,0.200190,0.204751,0.011768,0.194218,0.236862,0.234497,3928.4200,SSE4.2
458752,0.247925,0.249426,0.009674,0.236574,0.269410,0.268508,3700.7267,SSE4.2
524288,0.322903,0.330000,0.012000,0.296029,0.350000,0.345000,3247.3454,SSE4.2
655360,0.494232,0.491557,0.014252,0.472844,0.522668,0.520758,2652.0359,SSE4.2
786432,0.773490,0.785000,0.020000,0.736656,0.820000,0.815000,2033.4649,SSE4.2
917504,0.981220,0.983235,0.008088,0.973547,0.996090,0.996033,1870.1284,SSE4.2
1048576,1.249789,1.254689,0.016051,1.231534,1.274015,1.273972,1678.0043,SSE4.2
1310720,1.667923,1.680000,0.035000,1.495635,1.750000,1.740000,1571.6796,SSE4.2
1572864,1.977270,2.010000,0.050000,1.952153,2.080000,2.070000,1590.9449,SSE4.2
1835008,2.136435,2.180000,0.080000,2.095069,2.300000,2.280000,1717.8227,SSE4.2
2097152,2.550000,2.580000,0.080000,2.480000,2.700000,2.680000,571.4337,SSE4.2
2621440,3.092193,3.114096,0.060207,3.048202,3.259919,3.252143,847.7608,SSE4.2
3145728,3.619179,3.624856,0.039885,3.574914,3.698260,3.696307,869.1828,SSE4.2
3670016,4.632791,4.648256,0.065560,4.562669,4.796010,4.789053,792.1825,SSE4.2
4194304,5.076375,5.150000,0.120000,4.991408,5.350000,5.320000,826.2399,SSE4.2
