array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000028,0.000028,0.000000,0.000028,0.000030,0.000030,90335.5115,AVX
1024,0.000056,0.000056,0.000000,0.000055,0.000057,0.000057,91673.3064,AVX
2048,0.000114,0.000114,0.000001,0.000113,0.000115,0.000115,89517.5320,AVX
4096,0.000225,0.000229,0.000016,0.000218,0.000275,0.000271,91076.4228,AVX
8192,0.000478,0.000496,0.000033,0.000475,0.000582,0.000576,85734.1404,AVX
12288,0.000669,0.000677,0.000020,0.000658,0.000722,0.000721,91880.9484,AVX
16384,0.000953,0.000954,0.000003,0.000952,0.000963,0.000963,85997.4757,AVX
20480,0.001137,0.001137,0.000001,0.001135,0.001140,0.001140,90052.7266,AVX
24576,0.001385,0.001385,0.000001,0.001384,0.001389,0.001389,88713.2784,AVX
28672,0.001614,0.001615,0.000001,0.001613,0.001617,0.001617,88806.3158,AVX
32768,0.001763,0.001763,0.000002,0.001760,0.001766,0.001766,92923.3092,AVX
40960,0.002202,0.002202,0.000002,0.002199,0.002207,0.002207,93001.7711,AVX
49152,0.002641,0.002641,0.000003,0.002636,0.002646,0.002646,93040.8926,AVX
57344,0.003165,0.003165,0.000002,0.003162,0.003167,0.003167,90592.1311,AVX
65536,0.003745,0.003745,0.000002,0.003740,0.003748,0.003748,87491.3882,AVX
81920,0.004992,0.005216,0.000350,0.004984,0.005810,0.005808,82048.5619,AVX
98304,0.007105,0.007108,0.000012,0.007096,0.007142,0.007140,69175.1273,AVX
114688,0.008628,0.008625,0.000011,0.008599,0.008638,0.008638,26586.3090,AVX
131072,0.010283,0.010286,0.000017,0.010264,0.010325,0.010323,25492.0701,AVX
163840,0.013515,0.013518,0.000015,0.013484,0.013538,0.013538,24245.0650,AVX
196608,0.016479,0.016476,0.000028,0.016440,0.016520,0.016519,23861.9342,AVX
229376,0.019741,0.019745,0.000022,0.019714,0.019782,0.019781,23238.3345,AVX
262144,0.022857,0.022857,0.000026,0.022813,0.022909,0.022907,22938.1894,AVX
327680,0.029241,0.029248,0.000026,0.029221,0.029306,0.029303,22412.6615,AVX
393216,0.035904,0.035906,0.000024,0.035865,0.035933,0.035933,21903.7267,AVX
458752,0.042257,0.042249,0.000032,0.042193,0.042305,0.042303,21712.2250,AVX
524288,0.048943,0.048988,0.000133,0.048883,0.049370,0.049339,21424.4111,AVX
655360,0.061248,0.061405,0.000271,0.061122,0.061753,0.061753,21400.1298,AVX
786432,0.073579,0.073581,0.000067,0.073437,0.073686,0.073682,21376.4500,AVX
917504,0.086180,0.086170,0.000047,0.086078,0.086245,0.086243,21292.6287,AVX
1048576,0.098590,0.098590,0.000049,0.098495,0.098698,0.098691,21271.5193,AVX
1310720,0.123196,0.123686,0.000721,0.122951,0.124593,0.124592,21278.5736,AVX
1572864,0.154669,0.154495,0.000360,0.153883,0.154917,0.154901,20338.4345,AVX
1835008,0.165733,0.166193,0.002524,0.162525,0.171075,0.170913,22144.0961,AVX
2097152,0.193825,0.194335,0.001707,0.192207,0.197396,0.197314,10819.8281,AVX
2621440,0.290447,0.290482,0.000763,0.289147,0.291529,0.291520,9025.5354,AVX
3145728,0.431872,0.431882,0.002109,0.428096,0.434677,0.434651,7283.9420,AVX
3670016,0.587820,0.587721,0.001644,0.585275,0.590096,0.590088,6243.4400,AVX
4194304,0.747364,0.747628,0.001732,0.744957,0.750565,0.750504,5612.1315,AVX
