array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000019,0.000018,0.000001,0.000016,0.000020,0.000020,136338.4611,AVX2
1024,0.000032,0.000032,0.000000,0.000031,0.000032,0.000032,161494.8354,AVX2
2048,0.000066,0.000066,0.000001,0.000065,0.000066,0.000066,155686.0370,AVX2
4096,0.000123,0.000123,0.000000,0.000122,0.000123,0.000123,166566.3583,AVX2
8192,0.000388,0.000398,0.000023,0.000375,0.000441,0.000440,105623.9874,AVX2
12288,0.000582,0.000582,0.000006,0.000571,0.000592,0.000592,105504.6321,AVX2
16384,0.000752,0.000754,0.000003,0.000751,0.000761,0.000760,108868.0119,AVX2
20480,0.000940,0.000942,0.000004,0.000939,0.000952,0.000951,108930.8164,AVX2
24576,0.001127,0.001130,0.000005,0.001125,0.001138,0.001138,108994.6679,AVX2
28672,0.001314,0.001317,0.000008,0.001311,0.001337,0.001336,109119.9910,AVX2
32768,0.001367,0.001368,0.000014,0.001350,0.001391,0.001391,119880.6520,AVX2
40960,0.001547,0.001548,0.000005,0.001540,0.001558,0.001558,132363.7773,AVX2
49152,0.001854,0.001856,0.000006,0.001846,0.001867,0.001867,132535.7889,AVX2
57344,0.002268,0.002269,0.000010,0.002253,0.002290,0.002289,126421.4699,AVX2
65536,0.002557,0.002558,0.000004,0.002551,0.002565,0.002565,128162.5161,AVX2
81920,0.004002,0.004007,0.000011,0.003999,0.004038,0.004036,102354.2528,AVX2
98304,0.005977,0.005973,0.000007,0.005960,0.005979,0.005979,82236.8256,AVX2
114688,0.007934,0.007933,0.000026,0.007880,0.007969,0.007969,28911.7352,AVX2
131072,0.009388,0.009476,0.000152,0.009327,0.009686,0.009685,27923.3666,AVX2
163840,0.012529,0.012517,0.000051,0.012376,0.012566,0.012565,26152.7298,AVX2
196608,0.015478,0.015470,0.000031,0.015382,0.015497,0.015497,25404.4855,AVX2
229376,0.018686,0.018610,0.000155,0.018364,0.018766,0.018765,24550.3723,AVX2
262144,0.021887,0.021875,0.000045,0.021748,0.021919,0.021918,23953.9677,AVX2
327680,0.027532,0.027568,0.000167,0.027339,0.027783,0.027782,23803.6657,AVX2
393216,0.033369,0.033402,0.000078,0.033340,0.033618,0.033602,23567.7351,AVX2
458752,0.039463,0.039539,0.000240,0.039186,0.039845,0.039841,23249.4934,AVX2
524288,0.043613,0.043664,0.000098,0.043578,0.043900,0.043887,24042.5531,AVX2
655360,0.050845,0.050851,0.000071,0.050731,0.050983,0.050977,25778.9152,AVX2
786432,0.061745,0.061695,0.000128,0.061377,0.061813,0.061812,25473.3731,AVX2
917504,0.067373,0.067734,0.000543,0.067213,0.068569,0.068568,27236.4403,AVX2
1048576,0.078516,0.078502,0.000176,0.078197,0.078771,0.078766,26709.9443,AVX2
1310720,0.094310,0.094699,0.001197,0.093512,0.096525,0.096520,27796.1135,AVX2
1572864,0.113621,0.113715,0.000294,0.113435,0.114396,0.114366,27686.1168,AVX2
1835008,0.143152,0.143917,0.001585,0.142934,0.147935,0.147756,25637.1221,AVX2
2097152,0.177564,0.177559,0.000325,0.177067,0.178024,0.178024,11810.6773,AVX2
2621440,0.260285,0.260262,0.001006,0.258163,0.261695,0.261659,10071.4151,AVX2
3145728,0.385378,0.384748,0.002210,0.381137,0.387529,0.387480,8162.7119,AVX2
3670016,0.532602,0.532534,0.001948,0.529146,0.535340,0.535310,6890.7245,AVX2
4194304,0.688069,0.692692,0.011193,0.681239,0.714146,0.713875,6095.7577,AVX2
