array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000014,0.000014,0.000000,0.000014,0.000014,0.000014,185413.1943,AVX-512F
1024,0.000025,0.000025,0.000001,0.000025,0.000029,0.000028,206079.3412,AVX-512F
2048,0.000051,0.000051,0.000001,0.000050,0.000052,0.000052,201295.0513,AVX-512F
4096,0.000114,0.000113,0.000002,0.000108,0.000115,0.000115,179734.1022,AVX-512F
8192,0.000370,0.000389,0.000027,0.000368,0.000444,0.000443,110661.4589,AVX-512F
12288,0.000554,0.000555,0.000003,0.000552,0.000562,0.000562,110845.4237,AVX-512F
16384,0.000738,0.000740,0.000006,0.000736,0.000757,0.000755,110966.3377,AVX-512F
20480,0.000923,0.000924,0.000002,0.000921,0.000928,0.000928,110901.5582,AVX-512F
24576,0.001107,0.001107,0.000003,0.001103,0.001111,0.001111,110975.6628,AVX-512F
28672,0.001209,0.001211,0.000008,0.001201,0.001223,0.001223,118583.5159,AVX-512F
32768,0.001301,0.001302,0.000005,0.001293,0.001313,0.001313,125905.6191,AVX-512F
40960,0.001609,0.001611,0.000006,0.001604,0.001620,0.001620,127260.4814,AVX-512F
49152,0.002131,0.002135,0.000012,0.002124,0.002162,0.002161,115341.6558,AVX-512F
57344,0.002315,0.002316,0.000023,0.002289,0.002352,0.002350,123869.9973,AVX-512F
65536,0.002741,0.002743,0.000006,0.002735,0.002760,0.002759,119534.1699,AVX-512F
81920,0.004156,0.004164,0.000018,0.004148,0.004207,0.004205,98559.2804,AVX-512F
98304,0.005960,0.005966,0.000020,0.005936,0.006011,0.006008,82470.3577,AVX-512F
114688,0.007925,0.007931,0.000023,0.007907,0.007998,0.007992,28943.5940,AVX-512F
131072,0.009536,0.009591,0.000156,0.009481,0.010046,0.010009,27490.5138,AVX-512F
163840,0.012425,0.012444,0.000108,0.012321,0.012629,0.012625,26372.2867,AVX-512F
196608,0.015604,0.015602,0.000017,0.015561,0.015631,0.015629,25198.9164,AVX-512F
229376,0.018641,0.018639,0.000038,0.018580,0.018689,0.018688,24609.1979,AVX-512F
262144,0.021591,0.021540,0.000192,0.021170,0.021740,0.021737,24283.2716,AVX-512F
327680,0.027940,0.027897,0.000146,0.027533,0.028046,0.028042,23455.8549,AVX-512F
393216,0.031833,0.031847,0.000057,0.031751,0.031951,0.031950,24704.6836,AVX-512F
458752,0.038894,0.038726,0.000375,0.037916,0.039006,0.039001,23589.9294,AVX-512F
524288,0.041403,0.041413,0.000074,0.041295,0.041540,0.041539,25326.3848,AVX-512F
655360,0.048413,0.048358,0.000133,0.048069,0.048475,0.048475,27073.9083,AVX-512F
786432,0.056290,0.056268,0.000089,0.056113,0.056452,0.056439,27942.0065,AVX-512F
917504,0.067121,0.066894,0.000725,0.064722,0.067204,0.067203,27338.9586,AVX-512F
1048576,0.073405,0.073412,0.000042,0.073364,0.073481,0.073480,28569.7778,AVX-512F
1310720,0.092494,0.092616,0.000265,0.092399,0.093332,0.093281,28341.7081,AVX-512F
1572864,0.114053,0.114034,0.000247,0.113667,0.114326,0.114324,27581.3171,AVX-512F
1835008,0.137178,0.137066,0.000413,0.136376,0.137601,0.137592,26753.6218,AVX-512F
2097152,0.170738,0.170838,0.000332,0.170349,0.171517,0.171491,12282.8713,AVX-512F
2621440,0.259104,0.259147,0.000527,0.258334,0.260246,0.260188,10117.3389,AVX-512F
3145728,0.375978,0.375803,0.002581,0.371942,0.379989,0.379925,8366.7957,AVX-512F
3670016,0.519416,0.521383,0.006324,0.515837,0.538586,0.537278,7065.6586,AVX-512F
4194304,0.681156,0.680747,0.007567,0.668322,0.691508,0.691264,6157.6279,AVX-512F
