array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000114,0.000112,0.000005,0.000102,0.000115,0.000115,22516.1637,Scalar
1024,0.000205,0.000205,0.000001,0.000203,0.000206,0.000206,24967.9001,Scalar
2048,0.000395,0.000415,0.000042,0.000389,0.000502,0.000502,25940.7446,Scalar
4096,0.000754,0.000774,0.000045,0.000741,0.000878,0.000875,27146.9449,Scalar
8192,0.001600,0.001630,0.000072,0.001556,0.001768,0.001763,25600.2592,Scalar
12288,0.002429,0.002486,0.000121,0.002357,0.002725,0.002717,25294.4452,Scalar
16384,0.003116,0.003177,0.000125,0.003077,0.003459,0.003452,26286.6897,Scalar
20480,0.003961,0.003992,0.000066,0.003942,0.004152,0.004146,25853.8976,Scalar
24576,0.004750,0.004751,0.000006,0.004740,0.004764,0.004763,25869.3397,Scalar
28672,0.005549,0.005549,0.000003,0.005544,0.005555,0.005555,25836.9432,Scalar
32768,0.006195,0.006195,0.000003,0.006190,0.006200,0.006200,26445.8345,Scalar
40960,0.007733,0.007737,0.000026,0.007715,0.007814,0.007807,26484.7602,Scalar
49152,0.009282,0.009285,0.000008,0.009279,0.009306,0.009305,26476.4879,Scalar
57344,0.010838,0.010837,0.000010,0.010816,0.010850,0.010849,26455.3142,Scalar
65536,0.012362,0.012367,0.000018,0.012346,0.012410,0.012408,26507.3392,Scalar
81920,0.015647,0.015654,0.000027,0.015615,0.015709,0.015707,26177.8361,Scalar
98304,0.018814,0.018813,0.000021,0.018786,0.018856,0.018854,26125.6523,Scalar
114688,0.021926,0.021922,0.000014,0.021887,0.021936,0.021936,10461.3937,Scalar
131072,0.025206,0.025212,0.000069,0.025105,0.025318,0.025318,10400.0981,Scalar
163840,0.031450,0.031447,0.000033,0.031386,0.031510,0.031507,10419.1735,Scalar
196608,0.037789,0.037787,0.000029,0.037737,0.037835,0.037833,10405.6005,Scalar
229376,0.044233,0.044206,0.000088,0.044029,0.044304,0.044303,10371.3608,Scalar
262144,0.051715,0.051710,0.000134,0.051521,0.051928,0.051921,10137.9873,Scalar
327680,0.063937,0.063962,0.000101,0.063811,0.064116,0.064115,10250.1117,Scalar
393216,0.076913,0.076926,0.000085,0.076817,0.077059,0.077057,10224.9632,Scalar
458752,0.090019,0.090056,0.000164,0.089873,0.090451,0.090426,10192.2842,Scalar
524288,0.101712,0.101713,0.000136,0.101514,0.102014,0.101995,10309.2295,Scalar
655360,0.127280,0.127311,0.000089,0.127207,0.127519,0.127508,10297.9603,Scalar
786432,0.155362,0.155401,0.000100,0.155294,0.155603,0.155597,10123.8870,Scalar
917504,0.180562,0.180532,0.000193,0.180258,0.180817,0.180810,10162.7335,Scalar
1048576,0.209556,0.209594,0.000242,0.209191,0.209974,0.209970,10007.6058,Scalar
1310720,0.263073,0.263152,0.000257,0.262804,0.263593,0.263581,9964.6829,Scalar
1572864,0.321352,0.322697,0.003172,0.318584,0.328350,0.328240,9789.0360,Scalar
1835008,0.376965,0.381636,0.009961,0.370662,0.396366,0.396265,9735.6920,Scalar
2097152,0.448687,0.447249,0.003933,0.441080,0.452030,0.451908,4673.9723,Scalar
2621440,0.589281,0.589934,0.001497,0.588653,0.592789,0.592765,4448.5384,Scalar
3145728,0.749628,0.749262,0.005912,0.741216,0.760970,0.760428,4196.3875,Scalar
3670016,0.963734,0.973391,0.068110,0.898462,1.084762,1.081005,3808.1218,Scalar
4194304,1.219590,1.218735,0.007151,1.203481,1.231516,1.230805,3439.1106,Scalar
