array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000029,0.000030,0.000002,0.000029,0.000037,0.000036,88821.6559,SSE2
1024,0.000060,0.000059,0.000001,0.000057,0.000060,0.000060,85464.9496,SSE2
2048,0.000110,0.000116,0.000012,0.000108,0.000141,0.000140,93148.4071,SSE2
4096,0.000237,0.000237,0.000002,0.000233,0.000240,0.000239,86399.6490,SSE2
8192,0.000475,0.000528,0.000111,0.000438,0.000765,0.000755,86238.6415,SSE2
12288,0.000646,0.000725,0.000163,0.000644,0.001126,0.001111,95134.6169,SSE2
16384,0.000919,0.000948,0.000062,0.000904,0.001117,0.001104,89120.0731,SSE2
20480,0.001099,0.001099,0.000001,0.001097,0.001100,0.001100,93182.5753,SSE2
24576,0.001319,0.001318,0.000001,0.001316,0.001321,0.001321,93194.1993,SSE2
28672,0.001593,0.001594,0.000001,0.001592,0.001597,0.001597,89990.9093,SSE2
32768,0.001726,0.001726,0.000002,0.001719,0.001728,0.001728,94903.5342,SSE2
40960,0.002148,0.002147,0.000004,0.002137,0.002150,0.002150,95355.7734,SSE2
49152,0.002566,0.002566,0.000002,0.002562,0.002570,0.002570,95775.5000,SSE2
57344,0.002995,0.002995,0.000002,0.002991,0.003000,0.002999,95737.3921,SSE2
65536,0.003456,0.003457,0.000001,0.003455,0.003459,0.003459,94816.5624,SSE2
81920,0.004515,0.004518,0.000009,0.004506,0.004542,0.004540,90710.1270,SSE2
98304,0.006906,0.006908,0.000007,0.006897,0.006919,0.006919,71176.3911,SSE2
114688,0.008621,0.008620,0.000005,0.008612,0.008628,0.008627,26606.7168,SSE2
131072,0.010256,0.010259,0.000011,0.010243,0.010278,0.010277,25560.5989,SSE2
163840,0.013479,0.013483,0.000023,0.013452,0.013525,0.013524,24310.0287,SSE2
196608,0.016687,0.016701,0.000040,0.016664,0.016806,0.016798,23564.6297,SSE2
229376,0.019958,0.019954,0.000019,0.019920,0.019984,0.019983,22985.8971,SSE2
262144,0.023060,0.023054,0.000024,0.023001,0.023080,0.023079,22735.6384,SSE2
327680,0.029422,0.029423,0.000026,0.029384,0.029489,0.029484,22274.4272,SSE2
393216,0.036029,0.036028,0.000027,0.035986,0.036066,0.036065,21827.8067,SSE2
458752,0.042614,0.042619,0.000025,0.042588,0.042661,0.042660,21530.3337,SSE2
524288,0.049493,0.049487,0.000060,0.049400,0.049568,0.049567,21186.5104,SSE2
655360,0.061797,0.062030,0.000432,0.061673,0.062920,0.062900,21210.2534,SSE2
786432,0.074815,0.074842,0.000116,0.074727,0.075153,0.075133,21023.4355,SSE2
917504,0.088580,0.088489,0.000197,0.088033,0.088694,0.088692,20715.7387,SSE2
1048576,0.101175,0.101317,0.000392,0.100990,0.102296,0.102242,20727.9586,SSE2
1310720,0.130121,0.129545,0.001186,0.127237,0.130772,0.130747,20146.2479,SSE2
1572864,0.157948,0.157850,0.000477,0.156890,0.158528,0.158508,19916.2714,SSE2
1835008,0.180089,0.179903,0.001832,0.175524,0.182084,0.182082,20378.9346,SSE2
2097152,0.214250,0.214594,0.002791,0.211077,0.220635,0.220356,9788.3541,SSE2
2621440,0.333332,0.333901,0.003999,0.326232,0.339727,0.339720,7864.3604,SSE2
3145728,0.494284,0.492718,0.006275,0.479610,0.501082,0.500892,6364.2085,SSE2
3670016,0.668934,0.667913,0.012910,0.643728,0.692797,0.691428,5486.3622,SSE2
4194304,0.949992,0.932674,0.080040,0.827457,1.025591,1.025504,4415.0955,SSE2
