array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000031,0.000031,0.000001,0.000029,0.000032,0.000032,82149.4928,SSE4.2
1024,0.000054,0.000055,0.000002,0.000054,0.000060,0.000060,94942.2835,SSE4.2
2048,0.000116,0.000113,0.000008,0.000101,0.000127,0.000126,88305.5511,SSE4.2
4096,0.000210,0.000210,0.000005,0.000204,0.000221,0.000221,97673.4825,SSE4.2
8192,0.000454,0.000469,0.000027,0.000438,0.000513,0.000512,90259.1911,SSE4.2
12288,0.000746,0.000746,0.000001,0.000744,0.000748,0.000748,82381.1366,SSE4.2
16384,0.000880,0.000880,0.000001,0.000878,0.000882,0.000882,93103.7426,SSE4.2
20480,0.001156,0.001157,0.000002,0.001154,0.001160,0.001160,88549.9547,SSE4.2
24576,0.001395,0.001403,0.000030,0.001383,0.001490,0.001482,88085.6111,SSE4.2
28672,0.001624,0.001627,0.000033,0.001594,0.001715,0.001708,88281.2166,SSE4.2
32768,0.001785,0.001838,0.000156,0.001760,0.002301,0.002259,91808.7066,SSE4.2
40960,0.002203,0.002236,0.000099,0.002155,0.002517,0.002495,92953.0555,SSE4.2
49152,0.002710,0.002699,0.000044,0.002619,0.002763,0.002761,90695.0348,SSE4.2
57344,0.003194,0.003187,0.000055,0.003114,0.003265,0.003264,89770.6877,SSE4.2
65536,0.003575,0.003691,0.000278,0.003538,0.004510,0.004438,91659.2207,SSE4.2
81920,0.005337,0.005423,0.000371,0.004993,0.006109,0.006095,76753.4548,SSE4.2
98304,0.007001,0.007020,0.000044,0.006981,0.007122,0.007118,70208.3979,SSE4.2
114688,0.008505,0.008505,0.000046,0.008428,0.008569,0.008568,26970.1911,SSE4.2
131072,0.010408,0.010398,0.000132,0.010214,0.010588,0.010583,25187.6421,SSE4.2
163840,0.013495,0.013499,0.000026,0.013462,0.013549,0.013547,24282.4756,SSE4.2
196608,0.016677,0.016695,0.000075,0.016594,0.016795,0.016794,23578.2400,SSE4.2
229376,0.019665,0.019697,0.000074,0.019588,0.019842,0.019838,23328.1135,SSE4.2
262144,0.023009,0.023009,0.000035,0.022943,0.023068,0.023068,22786.6459,SSE4.2
327680,0.029569,0.029580,0.000045,0.029510,0.029664,0.029662,22163.8221,SSE4.2
393216,0.035617,0.035700,0.000180,0.035520,0.035974,0.035973,22079.9717,SSE4.2
458752,0.042073,0.042080,0.000031,0.042035,0.042134,0.042132,21807.5797,SSE4.2
524288,0.048618,0.048648,0.000087,0.048579,0.048889,0.048870,21567.5815,SSE4.2
655360,0.061849,0.061858,0.000042,0.061806,0.061939,0.061938,21192.2622,SSE4.2
786432,0.072116,0.072218,0.000856,0.071027,0.073907,0.073847,21810.1375,SSE4.2
917504,0.079829,0.079860,0.000237,0.079389,0.080273,0.080263,22986.6255,SSE4.2
1048576,0.088598,0.088366,0.000606,0.087206,0.089149,0.089119,23670.5009,SSE4.2
1310720,0.104055,0.104132,0.000594,0.103324,0.104955,0.104948,25192.9472,SSE4.2
1572864,0.130117,0.129997,0.000724,0.128620,0.131166,0.131128,24176.1426,SSE4.2
1835008,0.153843,0.153861,0.000750,0.152836,0.155611,0.155501,23855.5200,SSE4.2
2097152,0.196996,0.197052,0.001790,0.194633,0.200250,0.200135,10645.6740,SSE4.2
2621440,0.296550,0.296450,0.000609,0.295196,0.297460,0.297432,8839.7969,SSE4.2
3145728,0.438901,0.438916,0.000457,0.437795,0.439375,0.439373,7167.2791,SSE4.2
3670016,0.597332,0.597149,0.002024,0.592763,0.600069,0.600037,6144.0122,SSE4.2
4194304,0.836560,0.835857,0.003354,0.829283,0.840108,0.840078,5013.7512,SSE4.2
