array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.016361,0.016536,0.000847,0.015988,0.018973,0.018764,0.0313,AVX
1024,0.016128,0.016126,0.000010,0.016113,0.016139,0.016139,0.0635,AVX
2048,0.016328,0.016322,0.000013,0.016299,0.016336,0.016336,0.1254,AVX
4096,0.016699,0.016697,0.000014,0.016674,0.016723,0.016722,0.2453,AVX
8192,0.017425,0.017424,0.000013,0.017405,0.017447,0.017447,0.4701,AVX
12288,0.018153,0.018155,0.000009,0.018145,0.018176,0.018175,0.6769,AVX
16384,0.018907,0.018900,0.000035,0.018838,0.018948,0.018946,0.8665,AVX
20480,0.019666,0.019667,0.000007,0.019656,0.019679,0.019679,1.0414,AVX
24576,0.020402,0.020407,0.000014,0.020383,0.020429,0.020429,1.2046,AVX
28672,0.021154,0.021163,0.000028,0.021125,0.021237,0.021232,1.3554,AVX
32768,0.021914,0.022236,0.000707,0.021886,0.024264,0.024113,1.4953,AVX
40960,0.023438,0.023459,0.000118,0.023349,0.023783,0.023756,1.7476,AVX
49152,0.024817,0.024817,0.000009,0.024797,0.024837,0.024836,1.9806,AVX
57344,0.026312,0.026307,0.000023,0.026264,0.026341,0.026340,2.1794,AVX
65536,0.027779,0.027783,0.000016,0.027758,0.027824,0.027821,2.3592,AVX
