array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.016048,0.016049,0.000018,0.016013,0.016073,0.016072,0.0319,AVX2
1024,0.016137,0.016135,0.000007,0.016122,0.016145,0.016145,0.0635,AVX2
2048,0.016305,0.016304,0.000006,0.016289,0.016311,0.016311,0.1256,AVX2
4096,0.016683,0.016681,0.000008,0.016665,0.016690,0.016690,0.2455,AVX2
8192,0.017390,0.017394,0.000012,0.017378,0.017419,0.017418,0.4711,AVX2
12288,0.018126,0.018127,0.000021,0.018100,0.018165,0.018165,0.6779,AVX2
16384,0.018906,0.018899,0.000023,0.018843,0.018930,0.018929,0.8666,AVX2
20480,0.019656,0.019654,0.000009,0.019639,0.019669,0.019669,1.0419,AVX2
24576,0.020439,0.020434,0.000012,0.020411,0.020451,0.020450,1.2024,AVX2
28672,0.021113,0.021114,0.000009,0.021098,0.021128,0.021128,1.3581,AVX2
32768,0.021851,0.021849,0.000007,0.021841,0.021860,0.021859,1.4996,AVX2
40960,0.023364,0.023365,0.000007,0.023357,0.023376,0.023376,1.7531,AVX2
49152,0.025001,0.025294,0.000922,0.024944,0.028059,0.027786,1.9660,AVX2
57344,0.026410,0.026412,0.000016,0.026389,0.026444,0.026442,2.1713,AVX2
65536,0.028587,0.028579,0.000052,0.028447,0.028658,0.028655,2.2925,AVX2
