array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.011996,0.012010,0.000031,0.011979,0.012078,0.012076,0.0427,AVX-512F
1024,0.012071,0.012073,0.000009,0.012061,0.012092,0.012091,0.0848,AVX-512F
2048,0.012246,0.012246,0.000004,0.012241,0.012251,0.012251,0.1672,AVX-512F
4096,0.012634,0.012632,0.000005,0.012621,0.012638,0.012638,0.3242,AVX-512F
8192,0.013368,0.013367,0.000014,0.013345,0.013395,0.013394,0.6128,AVX-512F
12288,0.014084,0.014085,0.000006,0.014079,0.014100,0.014099,0.8725,AVX-512F
16384,0.014834,0.014835,0.000006,0.014827,0.014845,0.014845,1.1045,AVX-512F
20480,0.015575,0.015576,0.000005,0.015568,0.015583,0.015582,1.3149,AVX-512F
24576,0.016313,0.016315,0.000011,0.016298,0.016338,0.016337,1.5065,AVX-512F
28672,0.017062,0.017061,0.000013,0.017043,0.017076,0.017076,1.6805,AVX-512F
32768,0.017788,0.017789,0.000010,0.017770,0.017811,0.017810,1.8421,AVX-512F
40960,0.019326,0.019318,0.000017,0.019278,0.019335,0.019335,2.1194,AVX-512F
49152,0.020806,0.020806,0.000004,0.020801,0.020813,0.020813,2.3624,AVX-512F
57344,0.022344,0.022335,0.000028,0.022295,0.022374,0.022373,2.5664,AVX-512F
65536,0.023826,0.023826,0.000011,0.023809,0.023848,0.023847,2.7506,AVX-512F
