array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.015051,0.015085,0.000130,0.014945,0.015340,0.015336,0.0340,Scalar
1024,0.015189,0.015219,0.000139,0.015030,0.015500,0.015493,0.0674,Scalar
2048,0.015318,0.015356,0.000161,0.015182,0.015779,0.015747,0.1337,Scalar
4096,0.015690,0.015750,0.000211,0.015566,0.016338,0.016290,0.2611,Scalar
8192,0.016424,0.016448,0.000100,0.016326,0.016661,0.016651,0.4988,Scalar
12288,0.017174,0.017198,0.000116,0.017049,0.017448,0.017438,0.7155,Scalar
16384,0.017904,0.017929,0.000085,0.017811,0.018066,0.018063,0.9151,Scalar
20480,0.018727,0.018780,0.000102,0.018657,0.018988,0.018982,1.0936,Scalar
24576,0.019485,0.019486,0.000054,0.019404,0.019554,0.019553,1.2613,Scalar
28672,0.020201,0.020289,0.000150,0.020156,0.020594,0.020581,1.4193,Scalar
32768,0.020952,0.020969,0.000102,0.020865,0.021235,0.021215,1.5639,Scalar
40960,0.022405,0.022417,0.000064,0.022349,0.022560,0.022551,1.8282,Scalar
49152,0.023896,0.023936,0.000105,0.023833,0.024198,0.024180,2.0570,Scalar
57344,0.025432,0.025452,0.000078,0.025346,0.025578,0.025578,2.2548,Scalar
65536,0.026834,0.026878,0.000108,0.026781,0.027099,0.027095,2.4423,Scalar
