array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.026974,0.026979,0.000022,0.026950,0.027015,0.027014,0.0190,SSE2
1024,0.027025,0.027032,0.000019,0.027005,0.027056,0.027056,0.0379,SSE2
2048,0.027228,0.027228,0.000016,0.027198,0.027257,0.027256,0.0752,SSE2
4096,0.027605,0.027599,0.000028,0.027546,0.027642,0.027640,0.1484,SSE2
8192,0.028304,0.028305,0.000020,0.028271,0.028335,0.028334,0.2894,SSE2
12288,0.029029,0.029029,0.000012,0.029011,0.029047,0.029047,0.4233,SSE2
16384,0.029757,0.029764,0.000029,0.029727,0.029841,0.029835,0.5506,SSE2
20480,0.030502,0.030485,0.000035,0.030389,0.030508,0.030508,0.6714,SSE2
24576,0.031204,0.031208,0.000013,0.031192,0.031234,0.031233,0.7876,SSE2
28672,0.031936,0.031939,0.000012,0.031917,0.031958,0.031957,0.8978,SSE2
32768,0.032674,0.032677,0.000024,0.032637,0.032726,0.032724,1.0029,SSE2
40960,0.034145,0.034147,0.000018,0.034115,0.034176,0.034175,1.1996,SSE2
49152,0.035610,0.035612,0.000011,0.035599,0.035641,0.035639,1.3803,SSE2
57344,0.037063,0.037060,0.000020,0.037007,0.037083,0.037083,1.5472,SSE2
65536,0.038603,0.038604,0.000012,0.038584,0.038626,0.038626,1.6977,SSE2
