array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.026916,0.026918,0.000042,0.026871,0.026979,0.026979,0.0190,SSE4.2
1024,0.027061,0.027051,0.000022,0.026991,0.027072,0.027071,0.0378,SSE4.2
2048,0.027172,0.027168,0.000039,0.027123,0.027218,0.027218,0.0754,SSE4.2
4096,0.027536,0.027539,0.000022,0.027500,0.027593,0.027588,0.1487,SSE4.2
8192,0.028250,0.028246,0.000020,0.028205,0.028276,0.028275,0.2900,SSE4.2
12288,0.028980,0.028981,0.000020,0.028951,0.029025,0.029023,0.4240,SSE4.2
16384,0.029742,0.029737,0.000028,0.029696,0.029773,0.029772,0.5509,SSE4.2
20480,0.030459,0.030460,0.000016,0.030430,0.030493,0.030492,0.6724,SSE4.2
24576,0.031186,0.031183,0.000017,0.031144,0.031208,0.031207,0.7881,SSE4.2
28672,0.031908,0.031903,0.000029,0.031822,0.031936,0.031934,0.8986,SSE4.2
32768,0.032637,0.032634,0.000009,0.032621,0.032648,0.032647,1.0040,SSE4.2
40960,0.034125,0.034134,0.000040,0.034095,0.034236,0.034230,1.2003,SSE4.2
49152,0.035603,0.035602,0.000009,0.035589,0.035624,0.035622,1.3806,SSE4.2
57344,0.037074,0.037073,0.000012,0.037048,0.037086,0.037086,1.5468,SSE4.2
65536,0.038634,0.038825,0.000307,0.038542,0.039226,0.039226,1.6963,SSE4.2
