array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000074,0.000074,0.000001,0.000073,0.000077,0.000077,6.9653,AVX
1024,0.000143,0.000143,0.000001,0.000142,0.000145,0.000145,7.1666,AVX
2048,0.000282,0.000282,0.000002,0.000281,0.000289,0.000289,7.2729,AVX
4096,0.000556,0.000556,0.000001,0.000554,0.000558,0.000558,7.3733,AVX
8192,0.001111,0.001111,0.000001,0.001109,0.001113,0.001112,7.3727,AVX
12288,0.001665,0.001665,0.000002,0.001662,0.001669,0.001669,7.3823,AVX
16384,0.002217,0.002217,0.000002,0.002215,0.002221,0.002221,7.3891,AVX
20480,0.002770,0.002770,0.000002,0.002767,0.002773,0.002772,7.3944,AVX
24576,0.003323,0.003325,0.000005,0.003319,0.003335,0.003334,7.3955,AVX
28672,0.003879,0.003880,0.000003,0.003877,0.003885,0.003885,7.3908,AVX
32768,0.004432,0.004432,0.000004,0.004427,0.004438,0.004438,7.3934,AVX
40960,0.005540,0.005541,0.000006,0.005533,0.005556,0.005555,7.3937,AVX
49152,0.006651,0.006650,0.000002,0.006647,0.006654,0.006654,7.3906,AVX
57344,0.007754,0.007754,0.000003,0.007749,0.007758,0.007758,7.3953,AVX
65536,0.008864,0.008864,0.000004,0.008857,0.008873,0.008872,7.3932,AVX
