array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000074,0.000074,0.000000,0.000074,0.000075,0.000075,6.8935,AVX2
1024,0.000144,0.000144,0.000001,0.000143,0.000146,0.000146,7.1219,AVX2
2048,0.000282,0.000283,0.000003,0.000281,0.000293,0.000292,7.2709,AVX2
4096,0.000557,0.000557,0.000001,0.000555,0.000559,0.000559,7.3570,AVX2
8192,0.001111,0.001111,0.000001,0.001109,0.001113,0.001113,7.3729,AVX2
12288,0.001665,0.001665,0.000002,0.001662,0.001668,0.001668,7.3798,AVX2
16384,0.002219,0.002220,0.000003,0.002216,0.002225,0.002225,7.3838,AVX2
20480,0.002771,0.002772,0.000003,0.002769,0.002778,0.002778,7.3907,AVX2
24576,0.003327,0.003329,0.000007,0.003322,0.003346,0.003345,7.3866,AVX2
28672,0.003884,0.003884,0.000002,0.003880,0.003888,0.003888,7.3822,AVX2
32768,0.004435,0.004436,0.000005,0.004432,0.004450,0.004449,7.3884,AVX2
40960,0.005543,0.005542,0.000002,0.005537,0.005544,0.005544,7.3901,AVX2
49152,0.006647,0.006648,0.000002,0.006644,0.006651,0.006651,7.3942,AVX2
57344,0.007750,0.007752,0.000005,0.007746,0.007761,0.007761,7.3990,AVX2
65536,0.008856,0.008857,0.000004,0.008852,0.008863,0.008863,7.4004,AVX2
