array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000079,0.000079,0.000001,0.000077,0.000079,0.000079,6.5129,AVX-512F
1024,0.000149,0.000150,0.000002,0.000148,0.000154,0.000154,6.8737,AVX-512F
2048,0.000296,0.000297,0.000003,0.000295,0.000306,0.000305,6.9164,AVX-512F
4096,0.000590,0.000590,0.000001,0.000589,0.000592,0.000592,6.9386,AVX-512F
8192,0.001165,0.001167,0.000004,0.001162,0.001178,0.001177,7.0296,AVX-512F
12288,0.001755,0.001757,0.000005,0.001752,0.001767,0.001767,7.0022,AVX-512F
16384,0.002349,0.002348,0.000005,0.002341,0.002357,0.002356,6.9761,AVX-512F
20480,0.002926,0.002926,0.000001,0.002924,0.002929,0.002929,6.9984,AVX-512F
24576,0.003526,0.003528,0.000014,0.003510,0.003564,0.003561,6.9707,AVX-512F
28672,0.004109,0.004109,0.000004,0.004103,0.004114,0.004114,6.9772,AVX-512F
32768,0.004686,0.004686,0.000005,0.004679,0.004696,0.004696,6.9934,AVX-512F
40960,0.005868,0.005868,0.000005,0.005860,0.005876,0.005876,6.9799,AVX-512F
49152,0.007050,0.007049,0.000007,0.007039,0.007061,0.007060,6.9719,AVX-512F
57344,0.008224,0.008221,0.000010,0.008202,0.008232,0.008232,6.9727,AVX-512F
65536,0.009378,0.009379,0.000004,0.009373,0.009386,0.009386,6.9883,AVX-512F
