array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000211,0.000211,0.000001,0.000210,0.000215,0.000215,2.4282,Scalar
1024,0.000418,0.000418,0.000003,0.000416,0.000426,0.000425,2.4521,Scalar
2048,0.000832,0.000832,0.000002,0.000829,0.000835,0.000835,2.4618,Scalar
4096,0.001658,0.001658,0.000001,0.001656,0.001660,0.001660,2.4706,Scalar
8192,0.003319,0.003318,0.000004,0.003312,0.003323,0.003323,2.4684,Scalar
12288,0.004978,0.004979,0.000002,0.004976,0.004982,0.004982,2.4682,Scalar
16384,0.006637,0.006638,0.000009,0.006629,0.006663,0.006661,2.4687,Scalar
20480,0.008294,0.008296,0.000006,0.008291,0.008311,0.008310,2.4691,Scalar
24576,0.009953,0.009954,0.000004,0.009949,0.009960,0.009960,2.4692,Scalar
28672,0.011611,0.011611,0.000004,0.011607,0.011621,0.011620,2.4695,Scalar
32768,0.013254,0.013256,0.000005,0.013250,0.013264,0.013264,2.4724,Scalar
40960,0.016577,0.016577,0.000003,0.016572,0.016582,0.016582,2.4708,Scalar
49152,0.019893,0.019894,0.000008,0.019881,0.019912,0.019911,2.4708,Scalar
57344,0.023217,0.023216,0.000005,0.023208,0.023222,0.023222,2.4699,Scalar
65536,0.026529,0.026527,0.000010,0.026508,0.026546,0.026545,2.4703,Scalar
