array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000209,0.000210,0.000002,0.000207,0.000214,0.000214,2.4470,SSE2
1024,0.000417,0.000417,0.000003,0.000415,0.000426,0.000425,2.4571,SSE2
2048,0.000830,0.000830,0.000001,0.000828,0.000832,0.000832,2.4674,SSE2
4096,0.001657,0.001657,0.000002,0.001654,0.001663,0.001662,2.4720,SSE2
8192,0.003314,0.003314,0.000002,0.003311,0.003317,0.003317,2.4718,SSE2
12288,0.004971,0.004971,0.000003,0.004967,0.004976,0.004976,2.4720,SSE2
16384,0.006648,0.006736,0.000141,0.006631,0.006992,0.006988,2.4645,SSE2
20480,0.008287,0.008290,0.000006,0.008284,0.008302,0.008302,2.4713,SSE2
24576,0.009939,0.009940,0.000007,0.009931,0.009950,0.009949,2.4728,SSE2
28672,0.011595,0.011594,0.000005,0.011585,0.011602,0.011602,2.4729,SSE2
32768,0.013251,0.013256,0.000013,0.013246,0.013291,0.013289,2.4729,SSE2
40960,0.016584,0.016590,0.000033,0.016567,0.016685,0.016676,2.4699,SSE2
49152,0.019886,0.019887,0.000005,0.019881,0.019897,0.019896,2.4717,SSE2
57344,0.023195,0.023198,0.000013,0.023182,0.023226,0.023225,2.4723,SSE2
65536,0.026526,0.026524,0.000009,0.026502,0.026532,0.026532,2.4706,SSE2
