array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000012,0.000013,0.000000,0.000012,0.000013,0.000013,40.9636,AVX
1024,0.000024,0.000024,0.000000,0.000024,0.000025,0.000025,42.0139,AVX
2048,0.000064,0.000064,0.000001,0.000064,0.000066,0.000066,32.0237,AVX
4096,0.000128,0.000129,0.000002,0.000127,0.000133,0.000133,32.0288,AVX
8192,0.000384,0.000384,0.000003,0.000382,0.000394,0.000393,21.3377,AVX
12288,0.000573,0.000572,0.000004,0.000562,0.000576,0.000576,21.4627,AVX
16384,0.000763,0.000763,0.000001,0.000761,0.000765,0.000765,21.4615,AVX
20480,0.000952,0.000951,0.000003,0.000944,0.000955,0.000955,21.5209,AVX
24576,0.001143,0.001142,0.000002,0.001136,0.001144,0.001144,21.5097,AVX
28672,0.001332,0.001332,0.000003,0.001327,0.001334,0.001334,21.5180,AVX
32768,0.001333,0.001337,0.000017,0.001320,0.001383,0.001379,24.5761,AVX
40960,0.001601,0.001600,0.000004,0.001592,0.001606,0.001606,25.5768,AVX
49152,0.001915,0.001917,0.000007,0.001907,0.001928,0.001928,25.6716,AVX
57344,0.002249,0.002248,0.000004,0.002240,0.002254,0.002254,25.4933,AVX
65536,0.003334,0.003340,0.000018,0.003326,0.003385,0.003383,19.6596,AVX
