array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000013,0.000013,0.000000,0.000013,0.000014,0.000014,40.8619,AVX2
1024,0.000024,0.000025,0.000000,0.000024,0.000026,0.000026,42.0089,AVX2
2048,0.000054,0.000054,0.000001,0.000054,0.000056,0.000056,37.8191,AVX2
4096,0.000112,0.000113,0.000003,0.000111,0.000121,0.000120,36.6326,AVX2
8192,0.000384,0.000385,0.000003,0.000381,0.000394,0.000393,21.3164,AVX2
12288,0.000574,0.000573,0.000002,0.000568,0.000576,0.000576,21.4205,AVX2
16384,0.000765,0.000765,0.000002,0.000762,0.000769,0.000769,21.4199,AVX2
20480,0.000953,0.000952,0.000003,0.000945,0.000955,0.000955,21.4954,AVX2
24576,0.001144,0.001143,0.000003,0.001135,0.001147,0.001146,21.4895,AVX2
28672,0.001334,0.001332,0.000005,0.001322,0.001338,0.001338,21.5006,AVX2
32768,0.001293,0.001304,0.000034,0.001287,0.001406,0.001396,25.3434,AVX2
40960,0.001592,0.001593,0.000007,0.001583,0.001606,0.001606,25.7213,AVX2
49152,0.001910,0.001911,0.000005,0.001905,0.001922,0.001921,25.7400,AVX2
57344,0.002288,0.002288,0.000004,0.002282,0.002293,0.002293,25.0653,AVX2
65536,0.002956,0.002959,0.000009,0.002950,0.002982,0.002981,22.1742,AVX2
