array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000010,0.000010,0.000000,0.000010,0.000010,0.000010,52.4488,AVX-512F
1024,0.000020,0.000020,0.000000,0.000020,0.000021,0.000021,52.4163,AVX-512F
2048,0.000039,0.000039,0.000001,0.000039,0.000042,0.000042,52.5928,AVX-512F
4096,0.000075,0.000075,0.000001,0.000074,0.000078,0.000078,54.6466,AVX-512F
8192,0.000381,0.000382,0.000003,0.000378,0.000389,0.000388,21.4899,AVX-512F
12288,0.000565,0.000564,0.000003,0.000555,0.000567,0.000567,21.7609,AVX-512F
16384,0.000749,0.000749,0.000002,0.000744,0.000751,0.000751,21.8708,AVX-512F
20480,0.000935,0.000935,0.000002,0.000930,0.000939,0.000939,21.8958,AVX-512F
24576,0.001122,0.001122,0.000002,0.001118,0.001125,0.001124,21.8942,AVX-512F
28672,0.001231,0.001234,0.000011,0.001217,0.001259,0.001258,23.2991,AVX-512F
32768,0.001321,0.001320,0.000009,0.001303,0.001334,0.001334,24.7970,AVX-512F
40960,0.001651,0.001651,0.000007,0.001640,0.001660,0.001659,24.8158,AVX-512F
49152,0.001983,0.001984,0.000009,0.001967,0.001997,0.001996,24.7867,AVX-512F
57344,0.002212,0.002213,0.000005,0.002208,0.002224,0.002224,25.9276,AVX-512F
65536,0.002756,0.002756,0.000003,0.002750,0.002760,0.002760,23.7801,AVX-512F
