array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000113,0.000113,0.000001,0.000112,0.000115,0.000115,4.5365,Scalar
1024,0.000205,0.000206,0.000002,0.000205,0.000212,0.000212,4.9976,Scalar
2048,0.000395,0.000394,0.000004,0.000388,0.000399,0.000399,5.1826,Scalar
4096,0.000759,0.000759,0.000001,0.000757,0.000760,0.000760,5.3996,Scalar
8192,0.001590,0.001590,0.000002,0.001587,0.001593,0.001592,5.1521,Scalar
12288,0.002392,0.002393,0.000005,0.002386,0.002403,0.002402,5.1368,Scalar
16384,0.003125,0.003125,0.000001,0.003123,0.003127,0.003127,5.2428,Scalar
20480,0.003963,0.004075,0.000309,0.003957,0.004998,0.004912,5.1678,Scalar
24576,0.004770,0.004919,0.000304,0.004762,0.005637,0.005615,5.1521,Scalar
28672,0.005533,0.005534,0.000004,0.005528,0.005539,0.005539,5.1822,Scalar
32768,0.006221,0.006220,0.000005,0.006211,0.006226,0.006226,5.2674,Scalar
40960,0.007734,0.007734,0.000005,0.007723,0.007741,0.007741,5.2961,Scalar
49152,0.009277,0.009278,0.000006,0.009269,0.009289,0.009288,5.2984,Scalar
57344,0.010836,0.010835,0.000007,0.010821,0.010845,0.010845,5.2921,Scalar
65536,0.012393,0.012395,0.000010,0.012384,0.012422,0.012420,5.2880,Scalar
