array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000025,0.000025,0.000001,0.000024,0.000028,0.000028,20.2549,SSE2
1024,0.000062,0.000062,0.000001,0.000062,0.000064,0.000064,16.5759,SSE2
2048,0.000109,0.000109,0.000001,0.000108,0.000112,0.000112,18.8162,SSE2
4096,0.000226,0.000227,0.000003,0.000225,0.000237,0.000236,18.1088,SSE2
8192,0.000468,0.000478,0.000035,0.000441,0.000534,0.000532,17.5086,SSE2
12288,0.000683,0.000683,0.000001,0.000681,0.000684,0.000684,17.9980,SSE2
16384,0.000912,0.000912,0.000001,0.000911,0.000914,0.000914,17.9577,SSE2
20480,0.001117,0.001118,0.000002,0.001116,0.001121,0.001121,18.3375,SSE2
24576,0.001354,0.001354,0.000002,0.001352,0.001357,0.001357,18.1573,SSE2
28672,0.001552,0.001552,0.000002,0.001550,0.001555,0.001555,18.4745,SSE2
32768,0.001753,0.001753,0.000001,0.001751,0.001754,0.001754,18.6914,SSE2
40960,0.002186,0.002186,0.000002,0.002183,0.002189,0.002189,18.7381,SSE2
49152,0.002620,0.002622,0.000005,0.002615,0.002633,0.002632,18.7568,SSE2
57344,0.003092,0.003091,0.000003,0.003087,0.003095,0.003095,18.5475,SSE2
65536,0.003898,0.003897,0.000003,0.003891,0.003901,0.003901,16.8122,SSE2
