array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000036,0.000036,0.000001,0.000036,0.000038,0.000038,14.2405,AVX
1024,0.000082,0.000082,0.000001,0.000082,0.000084,0.000083,12.4715,AVX
2048,0.000172,0.000169,0.000006,0.000160,0.000175,0.000175,11.8895,AVX
4096,0.000342,0.000343,0.000002,0.000341,0.000349,0.000349,11.9779,AVX
8192,0.000706,0.000706,0.000001,0.000704,0.000707,0.000707,11.6009,AVX
12288,0.001071,0.001071,0.000001,0.001070,0.001073,0.001073,11.4727,AVX
16384,0.001436,0.001435,0.000001,0.001433,0.001437,0.001437,11.4131,AVX
20480,0.001797,0.001797,0.000002,0.001795,0.001800,0.001800,11.3959,AVX
24576,0.002160,0.002160,0.000001,0.002158,0.002163,0.002163,11.3784,AVX
28672,0.002524,0.002525,0.000002,0.002522,0.002527,0.002527,11.3577,AVX
32768,0.002892,0.002892,0.000003,0.002887,0.002898,0.002898,11.3313,AVX
40960,0.003618,0.003620,0.000006,0.003613,0.003631,0.003631,11.3212,AVX
49152,0.004344,0.004345,0.000002,0.004342,0.004348,0.004348,11.3143,AVX
57344,0.005074,0.005075,0.000004,0.005071,0.005083,0.005083,11.3009,AVX
65536,0.005800,0.005800,0.000002,0.005798,0.005805,0.005805,11.2987,AVX
