array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000032,0.000031,0.000003,0.000028,0.000033,0.000033,16.1464,AVX2
1024,0.000070,0.000070,0.000001,0.000069,0.000073,0.000073,14.6668,AVX2
2048,0.000161,0.000163,0.000005,0.000160,0.000178,0.000176,12.7431,AVX2
4096,0.000342,0.000343,0.000002,0.000341,0.000348,0.000348,11.9708,AVX2
8192,0.000707,0.000707,0.000001,0.000705,0.000709,0.000709,11.5911,AVX2
12288,0.001070,0.001071,0.000001,0.001069,0.001073,0.001073,11.4803,AVX2
16384,0.001435,0.001437,0.000004,0.001434,0.001449,0.001448,11.4155,AVX2
20480,0.001801,0.001801,0.000004,0.001796,0.001808,0.001808,11.3728,AVX2
24576,0.002161,0.002162,0.000003,0.002159,0.002167,0.002167,11.3733,AVX2
28672,0.002526,0.002527,0.000004,0.002524,0.002540,0.002539,11.3527,AVX2
32768,0.002904,0.002922,0.000044,0.002888,0.003013,0.003012,11.2841,AVX2
40960,0.003682,0.003707,0.000083,0.003618,0.003884,0.003875,11.1253,AVX2
49152,0.004435,0.004438,0.000057,0.004365,0.004525,0.004522,11.0830,AVX2
57344,0.005075,0.005077,0.000007,0.005068,0.005090,0.005090,11.2984,AVX2
65536,0.005811,0.005811,0.000009,0.005796,0.005823,0.005823,11.2777,AVX2
