array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000017,0.000017,0.000001,0.000017,0.000019,0.000019,29.9875,AVX-512F
1024,0.000034,0.000034,0.000000,0.000034,0.000035,0.000035,30.0393,AVX-512F
2048,0.000082,0.000079,0.000005,0.000071,0.000083,0.000083,24.9081,AVX-512F
4096,0.000162,0.000162,0.000001,0.000161,0.000164,0.000164,25.3160,AVX-512F
8192,0.000346,0.000349,0.000006,0.000345,0.000365,0.000364,23.6886,AVX-512F
12288,0.000531,0.000531,0.000001,0.000529,0.000532,0.000532,23.1594,AVX-512F
16384,0.000716,0.000717,0.000005,0.000712,0.000731,0.000730,22.8900,AVX-512F
20480,0.000900,0.000901,0.000006,0.000897,0.000919,0.000917,22.7658,AVX-512F
24576,0.001081,0.001083,0.000006,0.001078,0.001096,0.001096,22.7314,AVX-512F
28672,0.001262,0.001265,0.000006,0.001260,0.001278,0.001278,22.7240,AVX-512F
32768,0.001447,0.001450,0.000008,0.001443,0.001470,0.001469,22.6420,AVX-512F
40960,0.001813,0.001815,0.000007,0.001810,0.001830,0.001830,22.5893,AVX-512F
49152,0.002182,0.002187,0.000011,0.002176,0.002206,0.002206,22.5277,AVX-512F
57344,0.002555,0.002559,0.000011,0.002543,0.002576,0.002576,22.4409,AVX-512F
65536,0.002920,0.002924,0.000012,0.002915,0.002951,0.002950,22.4467,AVX-512F
