array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000165,0.000165,0.000001,0.000163,0.000167,0.000167,3.1049,Scalar
1024,0.000349,0.000349,0.000003,0.000345,0.000354,0.000354,2.9374,Scalar
2048,0.000710,0.000710,0.000003,0.000706,0.000715,0.000715,2.8832,Scalar
4096,0.001424,0.001426,0.000005,0.001421,0.001435,0.001435,2.8758,Scalar
8192,0.002869,0.002870,0.000003,0.002866,0.002874,0.002874,2.8550,Scalar
12288,0.004320,0.004321,0.000004,0.004318,0.004331,0.004330,2.8442,Scalar
16384,0.005784,0.005801,0.000035,0.005769,0.005857,0.005857,2.8329,Scalar
20480,0.007219,0.007220,0.000004,0.007216,0.007231,0.007231,2.8368,Scalar
24576,0.008660,0.008660,0.000003,0.008654,0.008666,0.008666,2.8379,Scalar
28672,0.010116,0.010117,0.000010,0.010109,0.010144,0.010141,2.8344,Scalar
32768,0.011554,0.011555,0.000006,0.011543,0.011562,0.011562,2.8361,Scalar
40960,0.014454,0.014459,0.000023,0.014444,0.014525,0.014519,2.8338,Scalar
49152,0.017357,0.017358,0.000011,0.017342,0.017378,0.017378,2.8318,Scalar
57344,0.020254,0.020258,0.000014,0.020241,0.020285,0.020285,2.8312,Scalar
65536,0.023141,0.023144,0.000016,0.023126,0.023170,0.023169,2.8320,Scalar
