array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000081,0.000081,0.000000,0.000081,0.000082,0.000082,6.2961,SSE2
1024,0.000172,0.000173,0.000001,0.000171,0.000175,0.000175,5.9513,SSE2
2048,0.000342,0.000344,0.000004,0.000341,0.000353,0.000353,5.9850,SSE2
4096,0.000706,0.000706,0.000001,0.000705,0.000707,0.000707,5.7998,SSE2
8192,0.001433,0.001433,0.000001,0.001431,0.001435,0.001435,5.7154,SSE2
12288,0.002159,0.002160,0.000003,0.002156,0.002165,0.002165,5.6909,SSE2
16384,0.002902,0.002913,0.000035,0.002885,0.002999,0.002996,5.6458,SSE2
20480,0.003665,0.003684,0.000061,0.003614,0.003773,0.003773,5.5883,SSE2
24576,0.004444,0.004440,0.000059,0.004349,0.004534,0.004531,5.5306,SSE2
28672,0.005165,0.005158,0.000048,0.005073,0.005216,0.005215,5.5512,SSE2
32768,0.005791,0.005795,0.000010,0.005786,0.005820,0.005819,5.6586,SSE2
40960,0.007240,0.007239,0.000003,0.007233,0.007242,0.007242,5.6576,SSE2
49152,0.008695,0.008696,0.000003,0.008690,0.008702,0.008701,5.6529,SSE2
57344,0.010150,0.010152,0.000004,0.010147,0.010163,0.010162,5.6496,SSE2
65536,0.011601,0.011601,0.000004,0.011597,0.011608,0.011608,5.6493,SSE2
