array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000081,0.000082,0.000001,0.000081,0.000084,0.000084,6.2879,SSE4.2
1024,0.000161,0.000162,0.000003,0.000160,0.000172,0.000171,6.3673,SSE4.2
2048,0.000343,0.000344,0.000004,0.000341,0.000357,0.000355,5.9716,SSE4.2
4096,0.000706,0.000706,0.000001,0.000703,0.000708,0.000708,5.8028,SSE4.2
8192,0.001432,0.001432,0.000002,0.001429,0.001434,0.001434,5.7208,SSE4.2
12288,0.002157,0.002158,0.000002,0.002156,0.002162,0.002162,5.6960,SSE4.2
16384,0.002884,0.002884,0.000003,0.002880,0.002889,0.002889,5.6820,SSE4.2
20480,0.003611,0.003610,0.000002,0.003605,0.003613,0.003613,5.6712,SSE4.2
24576,0.004340,0.004353,0.000021,0.004336,0.004398,0.004397,5.6624,SSE4.2
28672,0.005065,0.005064,0.000002,0.005060,0.005069,0.005069,5.6613,SSE4.2
32768,0.005789,0.005790,0.000003,0.005786,0.005795,0.005795,5.6600,SSE4.2
40960,0.007242,0.007242,0.000002,0.007238,0.007245,0.007244,5.6557,SSE4.2
49152,0.008699,0.008699,0.000003,0.008694,0.008703,0.008703,5.6505,SSE4.2
57344,0.010147,0.010154,0.000013,0.010144,0.010187,0.010186,5.6512,SSE4.2
65536,0.011600,0.011600,0.000004,0.011593,0.011605,0.011605,5.6497,SSE4.2
