array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000005,0.000006,0.000001,0.000005,0.000007,0.000007,94.5714,AVX
1024,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,189.4928,AVX
2048,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,378.0064,AVX
4096,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,754.6195,AVX
8192,0.000005,0.000006,0.000000,0.000005,0.000007,0.000007,1510.6306,AVX
12288,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,2267.6193,AVX
16384,0.000005,0.000006,0.000001,0.000005,0.000007,0.000007,3019.5362,AVX
20480,0.000005,0.000006,0.000000,0.000005,0.000007,0.000006,3773.0279,AVX
24576,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,4691.8661,AVX
28672,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,5462.4773,AVX
32768,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,6239.1451,AVX
40960,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,7778.2012,AVX
49152,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,9330.2962,AVX
57344,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,10871.1056,AVX
65536,0.000005,0.000006,0.000002,0.000005,0.000013,0.000012,12414.7058,AVX
