array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,94.5889,AVX2
1024,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,187.2748,AVX2
2048,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,378.1458,AVX2
4096,0.000005,0.000006,0.000001,0.000005,0.000010,0.000009,755.9986,AVX2
8192,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,1548.3191,AVX2
12288,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,2310.6866,AVX2
16384,0.000006,0.000006,0.000001,0.000005,0.000007,0.000007,2932.0501,AVX2
20480,0.000006,0.000007,0.000002,0.000006,0.000010,0.000010,3661.7851,AVX2
24576,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,4387.7878,AVX2
28672,0.000006,0.000007,0.000002,0.000006,0.000011,0.000011,5100.0542,AVX2
32768,0.000006,0.000006,0.000000,0.000006,0.000007,0.000006,5836.9385,AVX2
40960,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,7292.2792,AVX2
49152,0.000006,0.000006,0.000001,0.000006,0.000010,0.000010,8750.5786,AVX2
57344,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,10221.7433,AVX2
65536,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,11671.5928,AVX2
