array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000004,0.000005,0.000000,0.000004,0.000006,0.000006,113.8815,AVX-512F
1024,0.000004,0.000004,0.000000,0.000004,0.000005,0.000005,228.6735,AVX-512F
2048,0.000004,0.000004,0.000000,0.000004,0.000005,0.000005,455.6174,AVX-512F
4096,0.000005,0.000005,0.000001,0.000004,0.000007,0.000007,907.8016,AVX-512F
8192,0.000005,0.000005,0.000001,0.000004,0.000006,0.000006,1817.6169,AVX-512F
12288,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,2724.6114,AVX-512F
16384,0.000005,0.000005,0.000000,0.000004,0.000005,0.000005,3633.7016,AVX-512F
20480,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,4536.0911,AVX-512F
24576,0.000005,0.000005,0.000000,0.000004,0.000005,0.000005,5439.5750,AVX-512F
28672,0.000005,0.000005,0.000000,0.000004,0.000005,0.000005,6370.1392,AVX-512F
32768,0.000005,0.000005,0.000000,0.000004,0.000005,0.000005,7249.5560,AVX-512F
40960,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,9008.1361,AVX-512F
49152,0.000005,0.000005,0.000000,0.000005,0.000006,0.000006,10838.3692,AVX-512F
57344,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,12661.5151,AVX-512F
65536,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,14375.3986,AVX-512F
