array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000005,0.000005,0.000001,0.000005,0.000007,0.000007,96.5692,Scalar
1024,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,193.3937,Scalar
2048,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,385.9781,Scalar
4096,0.000005,0.000006,0.000001,0.000005,0.000008,0.000007,770.9392,Scalar
8192,0.000005,0.000005,0.000000,0.000005,0.000006,0.000006,1609.4617,Scalar
12288,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,2318.0535,Scalar
16384,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,3079.6994,Scalar
20480,0.000005,0.000005,0.000000,0.000005,0.000006,0.000006,3846.8043,Scalar
24576,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,4718.8945,Scalar
28672,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,5457.2787,Scalar
32768,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,6227.5274,Scalar
40960,0.000005,0.000005,0.000000,0.000005,0.000006,0.000006,7771.1167,Scalar
49152,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,9335.7866,Scalar
57344,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,10838.2311,Scalar
65536,0.000005,0.000005,0.000000,0.000005,0.000007,0.000006,12341.9970,Scalar
