array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000005,0.000006,0.000000,0.000005,0.000006,0.000006,94.4998,SSE2
1024,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,188.7906,SSE2
2048,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,378.4253,SSE2
4096,0.000005,0.000006,0.000000,0.000005,0.000006,0.000006,754.7446,SSE2
8192,0.000005,0.000005,0.000001,0.000005,0.000007,0.000007,1543.6215,SSE2
12288,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,2321.1617,SSE2
16384,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,3080.8573,SSE2
20480,0.000005,0.000005,0.000000,0.000005,0.000006,0.000006,3849.6242,SSE2
24576,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,4617.9007,SSE2
28672,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,5301.8712,SSE2
32768,0.000005,0.000006,0.000002,0.000005,0.000012,0.000012,6055.8120,SSE2
40960,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,7671.8484,SSE2
49152,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,9163.3103,SSE2
57344,0.000005,0.000005,0.000000,0.000005,0.000006,0.000006,10672.8174,SSE2
65536,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,12201.8249,SSE2
