array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,94.7289,SSE4.2
1024,0.000005,0.000005,0.000000,0.000005,0.000006,0.000006,195.7561,SSE4.2
2048,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,391.8867,SSE4.2
4096,0.000005,0.000006,0.000000,0.000005,0.000006,0.000006,752.4017,SSE4.2
8192,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,1508.9337,SSE4.2
12288,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,2259.2801,SSE4.2
16384,0.000005,0.000006,0.000000,0.000005,0.000006,0.000006,3008.5018,SSE4.2
20480,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,3764.7054,SSE4.2
24576,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,4504.4825,SSE4.2
28672,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,5253.3016,SSE4.2
32768,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,6008.1769,SSE4.2
40960,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,7501.9703,SSE4.2
49152,0.000005,0.000006,0.000001,0.000005,0.000008,0.000008,8953.0085,SSE4.2
57344,0.000005,0.000006,0.000000,0.000005,0.000007,0.000007,10493.1463,SSE4.2
65536,0.000005,0.000005,0.000000,0.000005,0.000006,0.000006,11935.1681,SSE4.2
