array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000059,0.000060,0.000003,0.000058,0.000065,0.000065,8.6202,AVX2
1024,0.000130,0.000130,0.000001,0.000129,0.000131,0.000131,7.8816,AVX2
2048,0.000267,0.000268,0.000002,0.000266,0.000273,0.000273,7.6652,AVX2
4096,0.000542,0.000543,0.000002,0.000541,0.000546,0.000546,7.5537,AVX2
8192,0.001094,0.001094,0.000002,0.001092,0.001098,0.001098,7.4899,AVX2
12288,0.001644,0.001644,0.000002,0.001640,0.001648,0.001648,7.4745,AVX2
16384,0.002195,0.002195,0.000003,0.002191,0.002199,0.002199,7.4639,AVX2
20480,0.002748,0.002748,0.000002,0.002745,0.002751,0.002751,7.4528,AVX2
24576,0.003299,0.003299,0.000005,0.003292,0.003307,0.003307,7.4502,AVX2
28672,0.003852,0.003851,0.000003,0.003845,0.003856,0.003856,7.4440,AVX2
32768,0.004398,0.004397,0.000004,0.004387,0.004400,0.004400,7.4509,AVX2
40960,0.005498,0.005498,0.000005,0.005491,0.005506,0.005506,7.4506,AVX2
49152,0.006597,0.006596,0.000004,0.006588,0.006602,0.006602,7.4510,AVX2
57344,0.007693,0.007694,0.000002,0.007691,0.007697,0.007697,7.4539,AVX2
65536,0.008788,0.008788,0.000002,0.008785,0.008793,0.008793,7.4574,AVX2
