array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000069,0.000070,0.000003,0.000069,0.000078,0.000077,7.4240,AVX-512F
1024,0.000126,0.000127,0.000003,0.000125,0.000137,0.000136,8.1338,AVX-512F
2048,0.000267,0.000267,0.000002,0.000265,0.000270,0.000270,7.6786,AVX-512F
4096,0.000547,0.000547,0.000001,0.000545,0.000548,0.000548,7.4888,AVX-512F
8192,0.001113,0.001112,0.000002,0.001109,0.001114,0.001114,7.3626,AVX-512F
12288,0.001675,0.001675,0.000003,0.001670,0.001678,0.001678,7.3364,AVX-512F
16384,0.002236,0.002236,0.000005,0.002226,0.002246,0.002245,7.3272,AVX-512F
20480,0.002799,0.002800,0.000006,0.002792,0.002811,0.002811,7.3179,AVX-512F
24576,0.003363,0.003364,0.000012,0.003349,0.003389,0.003388,7.3075,AVX-512F
28672,0.003925,0.003925,0.000004,0.003916,0.003931,0.003931,7.3042,AVX-512F
32768,0.004484,0.004484,0.000005,0.004476,0.004496,0.004495,7.3070,AVX-512F
40960,0.005625,0.005626,0.000012,0.005608,0.005649,0.005649,7.2813,AVX-512F
49152,0.006751,0.006745,0.000014,0.006717,0.006764,0.006763,7.2808,AVX-512F
57344,0.007865,0.007869,0.000023,0.007851,0.007936,0.007930,7.2912,AVX-512F
65536,0.008981,0.008993,0.000021,0.008975,0.009041,0.009039,7.2974,AVX-512F
