array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000197,0.000198,0.000002,0.000195,0.000204,0.000203,2.5998,Scalar
1024,0.000408,0.000408,0.000004,0.000402,0.000417,0.000417,2.5121,Scalar
2048,0.000813,0.000814,0.000002,0.000811,0.000817,0.000817,2.5179,Scalar
4096,0.001637,0.001637,0.000004,0.001633,0.001648,0.001647,2.5029,Scalar
8192,0.003281,0.003282,0.000006,0.003276,0.003295,0.003294,2.4970,Scalar
12288,0.004930,0.004931,0.000010,0.004918,0.004951,0.004950,2.4927,Scalar
16384,0.006578,0.006577,0.000004,0.006568,0.006581,0.006581,2.4906,Scalar
20480,0.008222,0.008226,0.000010,0.008216,0.008250,0.008249,2.4908,Scalar
24576,0.009861,0.009861,0.000009,0.009851,0.009883,0.009882,2.4921,Scalar
28672,0.011504,0.011504,0.000005,0.011495,0.011512,0.011512,2.4923,Scalar
32768,0.013144,0.013144,0.000007,0.013132,0.013154,0.013154,2.4930,Scalar
40960,0.016428,0.016433,0.000012,0.016420,0.016456,0.016455,2.4933,Scalar
49152,0.019724,0.019723,0.000008,0.019705,0.019735,0.019734,2.4920,Scalar
57344,0.023025,0.023030,0.000020,0.023011,0.023077,0.023074,2.4905,Scalar
65536,0.026326,0.026330,0.000009,0.026319,0.026346,0.026345,2.4894,Scalar
