array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000112,0.000112,0.000001,0.000110,0.000113,0.000113,4.5765,SSE2
1024,0.000225,0.000225,0.000001,0.000224,0.000227,0.000227,4.5601,SSE2
2048,0.000448,0.000449,0.000003,0.000447,0.000457,0.000456,4.5695,SSE2
4096,0.000904,0.000905,0.000001,0.000903,0.000907,0.000907,4.5298,SSE2
8192,0.001824,0.001828,0.000009,0.001817,0.001848,0.001847,4.4904,SSE2
12288,0.002738,0.002740,0.000007,0.002731,0.002755,0.002755,4.4876,SSE2
16384,0.003647,0.003650,0.000008,0.003643,0.003669,0.003669,4.4924,SSE2
20480,0.004569,0.004575,0.000012,0.004560,0.004595,0.004595,4.4824,SSE2
24576,0.005478,0.005480,0.000006,0.005471,0.005495,0.005495,4.4860,SSE2
28672,0.006398,0.006399,0.000007,0.006385,0.006410,0.006409,4.4814,SSE2
32768,0.007311,0.007312,0.000007,0.007303,0.007322,0.007322,4.4820,SSE2
40960,0.009139,0.009140,0.000007,0.009129,0.009158,0.009157,4.4818,SSE2
49152,0.010971,0.010974,0.000010,0.010964,0.010999,0.010997,4.4802,SSE2
57344,0.012809,0.012809,0.000008,0.012795,0.012826,0.012825,4.4768,SSE2
65536,0.014635,0.014638,0.000010,0.014627,0.014658,0.014657,4.4780,SSE2
