array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000112,0.000112,0.000004,0.000106,0.000119,0.000119,4.5715,SSE4.2
1024,0.000225,0.000225,0.000001,0.000224,0.000226,0.000226,4.5602,SSE4.2
2048,0.000453,0.000454,0.000002,0.000452,0.000458,0.000458,4.5192,SSE4.2
4096,0.000910,0.000909,0.000004,0.000904,0.000915,0.000915,4.5027,SSE4.2
8192,0.001821,0.001822,0.000004,0.001817,0.001830,0.001830,4.4995,SSE4.2
12288,0.002733,0.002737,0.000008,0.002729,0.002752,0.002752,4.4962,SSE4.2
16384,0.003646,0.003650,0.000008,0.003642,0.003668,0.003667,4.4943,SSE4.2
20480,0.004571,0.004571,0.000008,0.004558,0.004583,0.004583,4.4807,SSE4.2
24576,0.005485,0.005486,0.000007,0.005474,0.005496,0.005496,4.4809,SSE4.2
28672,0.006409,0.006405,0.000009,0.006391,0.006416,0.006415,4.4735,SSE4.2
32768,0.007327,0.007329,0.000011,0.007311,0.007349,0.007349,4.4722,SSE4.2
40960,0.009150,0.009154,0.000014,0.009137,0.009190,0.009187,4.4765,SSE4.2
49152,0.010971,0.010971,0.000004,0.010966,0.010977,0.010977,4.4802,SSE4.2
57344,0.012796,0.012798,0.000005,0.012790,0.012808,0.012808,4.4814,SSE4.2
65536,0.014624,0.014624,0.000003,0.014620,0.014628,0.014628,4.4814,SSE4.2
